run,molecule_id,image_name,image_path,mask_path,dia,flow_threshold,cellprob_threshold,blur,n_objects,area_mean,area_median,area_std,area_q25,area_q75,eccentricity_mean,solidity_mean,major_axis_mean,minor_axis_mean,mean_intensity_mean,skel_len,skel_branch_pts,skel_end_pts,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_ASM,lbp_mean,lbp_var,lbp_entropy,gabor_f0.1_t0_mean,gabor_f0.1_t0_std,gabor_f0.2_t0_mean,gabor_f0.2_t0_std,radial_ps_mean,radial_ps_std,radial_ps_q25,radial_ps_q50,radial_ps_q75
1,153,153_1.png,content/153/153_1.png,masks/153/153__153_1__run0001.png,10,0.4,0.0,0.0,61,3575.8524590163934,2765.0,2656.3434381122834,1760.0,4922.0,0.7298263964370892,0.8768037861590992,94.95074020078395,52.3983804981951,30.017798354343515,6502,786,204,,,,,,0.16666666666666682,0.08074635350173319,1.1113345264574526,0.09721558127461735,0.08989603821888617,0.060920380193139625,0.04249272802480302,2120736303.870311,9195547283.917261,177385.3016098456,373898.68283151835,1518902.5116504503
2,153,153_3.png,content/153/153_3.png,masks/153/153__153_3__run0002.png,10,0.4,0.0,0.0,73,4589.41095890411,2988.0,6989.76232276657,1654.0,4361.0,0.7685978663585339,0.8880136944455299,100.09365564590266,54.4605994670372,40.55540228577666,11633,1510,275,,,,,,0.1666666666666668,0.057427965458575626,1.3838770181249498,0.23249375424083005,0.21565389950351563,0.11612283122444335,0.09737610104135802,5912627880.590678,25582458262.845413,589998.5662653749,1325118.5327447583,5811302.386312268
3,153,153_6.png,content/153/153_6.png,masks/153/153__153_6__run0003.png,10,0.4,0.0,0.0,82,3664.3048780487807,2807.5,3163.2675506918254,1477.0,5168.5,0.7750662050772189,0.8742872278721112,95.60494114362012,50.43547922101506,43.52913994645593,9227,923,263,,,,,,0.1666666666666668,0.054513318276298905,1.411418412581794,0.24410367371255015,0.22239014361417261,0.11302524005843281,0.08986347807119531,5541789405.986526,23918367695.105804,535978.8141379561,1977206.82555174,7274245.980749763
4,154,154_1.png,content/154/154_1.png,masks/154/154__154_1__run0004.png,10,0.4,0.0,0.0,47,1818.6382978723404,1206.0,1502.171781781181,833.5,2541.5,0.7554369040933622,0.9194026874831406,59.011735330845724,36.55707328448338,87.83820337564451,2707,209,136,,,,,,0.16666666666666677,0.04095164989404219,1.5696264885438675,0.8392685633322025,0.6538502552610235,0.3877083181822283,0.30336238845982033,11686421914.660091,49701803531.719986,1332238.2293415803,6793832.9520687265,27799194.331033144
5,154,154_2.png,content/154/154_2.png,masks/154/154__154_2__run0005.png,10,0.4,0.0,0.0,53,1811.2264150943397,1204.0,1843.903015986944,783.0,2023.0,0.754407337515414,0.9147407601369059,60.660708086136424,34.99869843735133,136.6255310233838,3377,322,156,,,,,,0.16666666666666674,0.040581783723205825,1.5596485116206729,1.2071791811438142,0.8992166407249966,0.5166711560127535,0.3632608809846733,29979472453.76803,127830614024.18118,3463987.3902358995,13267811.037391143,60034702.30664541
6,154,154_5.png,content/154/154_5.png,masks/154/154__154_5__run0006.png,10,0.4,0.0,0.0,25,1839.92,1252.0,1642.2835199806398,838.0,2047.0,0.6975243891008417,0.9464754731276251,58.437468070942835,36.8660333281743,129.02550694794277,1189,117,58,,,,,,0.1666666666666667,0.041675836170017896,1.5257031161534036,0.8640196196372194,0.6384311459999916,0.3334302420864978,0.2243669661678805,26500542786.442173,113806924226.8947,2950320.586170347,6870722.76966689,38109746.39638629
7,156,156_1.png,content/156/156_1.png,masks/156/156__156_1__run0007.png,10,0.4,0.0,0.0,715,401.806993006993,320.0,269.6509865972645,229.0,498.0,0.9582558684970771,0.889435351515339,48.020912018783044,11.22653761109174,86.31950619457321,31874,619,1637,,,,,,0.16666666666666677,0.044542980454631786,1.516223910249051,0.8795677995358842,0.9359662652695605,0.3174195621147131,0.3942623990854705,17689382419.635323,74111641306.40297,1604819.2304199594,35239059.64811942,145402691.4672885
8,156,156_3.png,content/156/156_3.png,masks/156/156__156_3__run0008.png,10,0.4,0.0,0.0,930,53.45161290322581,52.5,20.98588183428025,37.0,68.0,0.5509861741796841,0.9554041237700902,8.948554638260735,7.315596465768316,138.7490999855358,2878,7,1727,,,,,,0.16666666666666677,0.04048403030396413,1.592614064269143,1.1329603721796655,0.8687456925445143,0.5223336856583743,0.5153407458205034,19172183018.484627,81654837110.11748,1824722.1001120482,31465126.3114527,130010083.60045224
9,156,156_6.png,content/156/156_6.png,masks/156/156__156_6__run0009.png,10,0.4,0.0,0.0,503,121.29025844930418,115.0,60.76051254715378,86.0,147.0,0.5289286371627667,0.9562272077115045,13.339672895980662,11.087574659877049,39.24060477205651,1835,3,935,,,,,,0.16666666666666682,0.08469644392395546,1.0727456016617876,0.17572534112359875,0.3815477089949023,0.1032254739208784,0.16780067812769492,893239227.2328917,3533611806.8974357,131347.75212922646,1887552.0766650615,6613464.502240414
10,157,157_1.png,content/157/157_1.png,masks/157/157__157_1__run0010.png,10,0.4,0.0,0.0,65,1773.8,1625.0,1278.271491604972,871.0,2231.0,0.7898075998554784,0.8888146614599974,64.2910786328154,35.93154531901651,33.39818126722204,4206,226,180,,,,,,0.1666666666666668,0.0620472209838127,1.3251842548930624,0.21349607169457432,0.20943190388162325,0.11200507327222496,0.09190609845323038,26060426130.75889,113226514312.69275,2277331.738004205,4165892.326254408,17755127.235740658
